category,name,rank,hyperlink
books,這世界很煩，但你要很可愛,1.0,https://www.books.com.tw/products/0010845024?loc=P_0037__2001
books,跟著柴鼠學FQ，做自己的提款機：為投資理財打好基本功，讓你不靠勞力，增加被動收入，快速FIRE,2.0,https://www.books.com.tw/products/0010852671?loc=P_0037_002
books,原子習慣：細微改變帶來巨大成就的實證法則,3.0,https://www.books.com.tw/products/0010822522?loc=P_0037_003
books,屁屁偵探讀本番外篇 咖哩香料事件,4.0,https://www.books.com.tw/products/0010852635?loc=P_0037_004
books,養氣：神隱中醫15年親身實證的幸福功法 【附32張彩圖示範】,5.0,https://www.books.com.tw/products/0010852917?loc=P_0037_005
books,新制多益 NEW TOEIC 單字大全：2018起多益更新單字資訊完全掌握！(附13小時8種版本MP3),6.0,https://www.books.com.tw/products/0010771883?loc=P_0037_006
books,我的存在本來就值得青睞,7.0,https://www.books.com.tw/products/0010847694?loc=P_0037_007
books,屁屁偵探繪本(1-5冊),8.0,https://www.books.com.tw/products/0010747038?loc=P_0037_008
books,"我畢業五年，用ETF賺到400萬：每月1,000元就能開始！不用兼差斜槓，兩檔ETF投資組合，年賺20%以上",9.0,https://www.books.com.tw/products/0010843448?loc=P_0037_009
books,以我之名：寫給獨一無二的自己,10.0,https://www.books.com.tw/products/0010852959?loc=P_0037_010
china,羊皮卷,1.0,https://www.books.com.tw/products/CN11447828?loc=P_0050__2001
china,墨菲定律（精裝紀念版）,2.0,https://www.books.com.tw/products/CN11646896?loc=P_0050_002
china,錦衣之下•典藏版(全二冊),3.0,https://www.books.com.tw/products/CN11617195?loc=P_0050_003
china,模型思維,4.0,https://www.books.com.tw/products/CN11710985?loc=P_0050_004
china,陳情令原畫影像紀念特典,5.0,https://www.books.com.tw/products/CN11714495?loc=P_0050_005
china,古色之美,6.0,https://www.books.com.tw/products/CN11692977?loc=P_0050_006
china,盜墓筆記十年,7.0,https://www.books.com.tw/products/CN11708291?loc=P_0050_007
china,你是我的榮耀,8.0,https://www.books.com.tw/products/CN11641483?loc=P_0050_008
china,狼道,9.0,https://www.books.com.tw/products/CN11657143?loc=P_0050_009
china,少有人走的路：心智成熟的旅程（白金升級版）,10.0,https://www.books.com.tw/products/CN11610753?loc=P_0050_010
mook,集合啦！動物森友會完全攻略本＋超圖鑑,1.0,https://www.books.com.tw/products/M010106783?loc=P_0037__2001
mook,SLAM DUNK灌籃高手插畫集 2：PLUS,2.0,https://www.books.com.tw/products/M010098945?loc=P_0037_002
mook,可愛角色遊戲情報誌：集合啦！動物森友會特大號（附印章組＆手帳）,3.0,https://www.books.com.tw/products/M010106022?loc=P_0037_003
mook,SNOOPY可愛單品：房屋造型收納包,4.0,https://www.books.com.tw/products/M010105764?loc=P_0037_004
mook,可愛遊戲情報誌2020春號：集合啦！動物森友會特集（附手帳＆貼紙）,5.0,https://www.books.com.tw/products/M010106789?loc=P_0037_005
mook,宮崎駿動畫鋼琴譜精選2015年新版,6.0,https://www.books.com.tw/products/M010044316?loc=P_0037_006
mook,集合啦！動物森友會遊戲完全攻略本,7.0,https://www.books.com.tw/products/M010106971?loc=P_0037_007
mook,井上雄彥畫冊：灌籃高手,8.0,https://www.books.com.tw/products/M010002587?loc=P_0037_008
mook,佐藤健＆渡邊圭祐寫真專集：TAKERU SATOH＆KEISUKE WATANABE NYLON SUPER VOL.1,9.0,https://www.books.com.tw/products/M010107378?loc=P_0037_009
mook,GINZA（2020.05）增刊 表紙：新垣結衣,10.0,https://www.books.com.tw/products/M010107371?loc=P_0037_010
